fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
6.3,0.23,0.3,1.8,0.033,0.016,0.091,990.6,3.28,0.4,11.8,6,white
6.5,0.28,0.34,9.9,0.038,0.03,0.133,995.4,3.11,0.44,9.8,5,white
5.6,0.26,0.26,5.7,0.031,0.012,0.08,992.3,3.25,0.38,10.8,5,white
6.3,0.23,0.3,1.8,0.033,0.016,0.091,990.6,3.28,0.4,11.8,6,white
6.3,0.23,0.33,1.5,0.036,0.015,0.105,991,3.32,0.42,11.2,6,white
5.8,0.27,0.27,12.3,0.045,0.055,0.17,997.2,3.28,0.42,9.3,6,white
5.9,0.26,0.4,1.3,0.047,0.012,0.139,994.5,3.45,0.53,10.4,5,white
6.6,0.18,0.35,1.5,0.049,0.049,0.141,993.4,3.43,0.85,10.2,7,white
7.4,0.2,0.43,7.8,0.045,0.027,0.153,996.4,3.19,0.55,9,7,white
8,0.24,0.36,1.5,0.047,0.017,0.129,994.8,3.2,0.54,10,6,white
6.4,0.26,0.42,9.7,0.044,0.03,0.14,996.2,3.18,0.47,9.1,6,white
5.4,0.31,0.47,3,0.053,0.046,0.144,993.1,3.29,0.76,10,5,white
5.4,0.29,0.47,3,0.052,0.047,0.145,993,3.29,0.75,10,6,white
7.1,0.145,0.33,4.6,0.05,0.033,0.131,994.2,3.28,0.4,9.6,6,white
5.6,0.34,0.1,1.3,0.031,0.02,0.068,990.6,3.36,0.51,11.2,7,white
6.7,0.19,0.41,15.6,0.056,0.075,0.155,999.5,3.2,0.44,8.8,6,white
7.8,0.18,0.46,13.6,0.052,0.038,0.118,998,3.15,0.5,10,6,white
7.6,0.17,0.45,11.2,0.054,0.056,0.137,997,3.15,0.47,10,5,white
6.3,0.12,0.36,2.1,0.044,0.047,0.146,991.4,3.27,0.74,11.4,7,white
7.3,0.33,0.4,6.85,0.038,0.032,0.138,992,3.03,0.3,11.9,7,white
5.5,0.335,0.3,2.5,0.071,0.027,0.128,992.4,3.14,0.51,9.6,6,white
7.3,0.33,0.4,6.85,0.038,0.032,0.138,992,3.03,0.3,11.9,7,white
5.8,0.4,0.42,4.4,0.047,0.0385,0.245,993.7,3.25,0.57,9.6,6,white
7.3,0.22,0.37,14.3,0.063,0.048,0.191,997.8,2.89,0.38,9,6,white
7.3,0.22,0.37,14.3,0.063,0.048,0.191,997.8,2.89,0.38,9,6,white
6.1,0.36,0.33,1.1,0.05,0.024,0.169,992.7,3.15,0.78,9.5,6,white
10,0.2,0.39,1.4,0.05,0.019,0.152,994,3,0.42,10.4,6,white
6.9,0.24,0.34,4.7,0.04,0.043,0.161,993.5,3.2,0.59,10.6,6,white
6.4,0.24,0.32,14.9,0.047,0.054,0.162,996.8,3.28,0.5,10.2,6,white
7.1,0.365,0.14,1.2,0.055,0.024,0.084,994.1,3.15,0.43,8.9,5,white
6.8,0.15,0.3,5.3,0.05,0.04,0.127,994.2,3.4,0.39,9.7,6,white
7.3,0.22,0.37,14.3,0.063,0.048,0.191,997.8,2.89,0.38,9,6,white
6.8,0.16,0.4,2.3,0.037,0.018,0.102,992.3,3.49,0.42,11.4,7,white
6,0.26,0.32,3.5,0.028,0.029,0.113,991.2,3.4,0.71,12.3,7,white
6,0.18,0.27,1.5,0.089,0.04,0.143,992.3,3.49,0.62,10.8,6,white
6.9,0.33,0.21,1,0.053,0.039,0.148,992.7,3.12,0.45,9.4,6,white
7.7,0.29,0.48,2.3,0.049,0.036,0.178,993.1,3.17,0.64,10.6,6,white
7.1,0.39,0.35,12.5,0.044,0.026,0.072,994.1,3.17,0.29,11.6,5,white
6.9,0.33,0.21,1,0.053,0.039,0.148,992.7,3.12,0.45,9.4,6,white
7.7,0.29,0.48,2.3,0.049,0.036,0.178,993.1,3.17,0.64,10.6,6,white
6.6,0.905,0.19,0.8,0.048,0.017,0.204,993.4,3.34,0.56,10,5,white
7.2,0.27,0.27,2.4,0.048,0.03,0.149,993.6,3.1,0.51,9.2,6,white
5.1,0.33,0.22,1.6,0.027,0.018,0.089,989.3,3.51,0.38,12.5,7,white
5.1,0.33,0.22,1.6,0.027,0.018,0.089,989.3,3.51,0.38,12.5,7,white
6.4,0.31,0.28,1.5,0.037,0.012,0.119,991.9,3.32,0.51,10.4,7,white
7.3,0.2,0.44,1.4,0.045,0.021,0.098,992.4,3.15,0.46,10,7,white
5.7,0.32,0.5,2.6,0.049,0.017,0.155,992.7,3.22,0.64,10,6,white
6.4,0.31,0.28,1.5,0.037,0.012,0.119,991.9,3.32,0.51,10.4,7,white
7.3,0.2,0.44,1.4,0.045,0.021,0.098,992.4,3.15,0.46,10,7,white
7.2,0.28,0.26,12.5,0.046,0.048,0.179,997.5,3.1,0.52,9,6,white
7.5,0.35,0.28,9.6,0.051,0.026,0.157,996.9,3.12,0.53,9.2,6,white
7.2,0.27,0.27,2.4,0.048,0.03,0.149,993.6,3.1,0.51,9.2,6,white
6,0.36,0.39,3.2,0.027,0.02,0.125,991,3.38,0.39,11.3,7,white
5.1,0.33,0.22,1.6,0.027,0.018,0.089,989.3,3.51,0.38,12.5,7,white
5,0.17,0.56,1.5,0.026,0.024,0.115,990.6,3.48,0.39,10.8,7,white
6.3,0.39,0.35,5.9,0.04,0.0825,0.26,994.1,3.12,0.66,10.1,5,white
6.7,0.21,0.32,5.4,0.047,0.029,0.14,995,3.39,0.46,9.7,6,white
7,0.3,0.38,14.9,0.032,0.06,0.181,998.3,3.18,0.61,9.3,7,white
7,0.3,0.38,14.9,0.032,0.06,0.181,998.3,3.18,0.61,9.3,7,white
6.5,0.36,0.32,1.1,0.031,0.013,0.066,991.6,3.1,0.46,10.6,5,white
6.1,0.55,0.15,9.8,0.031,0.019,0.125,995.7,3.36,0.47,10.2,6,white
7.3,0.24,0.43,2,0.021,0.02,0.069,990,3.08,0.56,12.2,6,white
6.8,0.37,0.51,11.8,0.044,0.062,0.163,997.6,3.19,0.44,8.8,5,white
6.8,0.27,0.12,1.3,0.04,0.087,0.168,992,3.18,0.41,10,5,white
8.2,0.28,0.42,1.8,0.031,0.03,0.093,991.7,3.09,0.39,11.4,5,white
6.3,0.2,0.4,1.5,0.037,0.035,0.107,991.7,3.46,0.5,11.4,6,white
5.9,0.26,0.27,18.2,0.048,0.052,0.168,999.3,3.35,0.44,9.4,5,white
6.4,0.19,0.42,2.9,0.032,0.032,0.083,990.8,3.3,0.41,11.7,6,white
6.3,0.2,0.4,1.5,0.037,0.035,0.107,991.7,3.46,0.5,11.4,6,white
6.8,0.37,0.51,11.8,0.044,0.062,0.163,997.6,3.19,0.44,8.8,5,white
6.1,0.35,0.07,1.4,0.069,0.022,0.108,993.4,3.23,0.52,9.2,5,white
7.1,0.27,0.31,18.2,0.046,0.055,0.252,1000,3.07,0.56,8.7,5,white
6.8,0.22,0.31,6.3,0.035,0.033,0.17,991.8,3.24,0.66,12.6,6,white
6.8,0.27,0.12,1.3,0.04,0.087,0.168,992,3.18,0.41,10,5,white
5.8,0.28,0.34,4,0.031,0.04,0.099,989.6,3.39,0.39,12.8,7,white
6.9,0.49,0.24,1.2,0.049,0.013,0.125,993.2,3.17,0.51,9.4,5,white
6.3,0.14,0.39,1.2,0.044,0.026,0.116,992,3.26,0.53,10.3,6,white
8.2,0.28,0.42,1.8,0.031,0.03,0.093,991.7,3.09,0.39,11.4,5,white
7.2,0.25,0.39,18.95,0.038,0.042,0.155,999.9,2.97,0.47,9,6,white
7.3,0.28,0.36,12.7,0.04,0.038,0.14,998,3.3,0.79,9.6,6,white
7.2,0.19,0.39,1.2,0.036,0.032,0.085,991.8,3.16,0.5,10.5,5,white
7.2,0.19,0.39,1.2,0.036,0.032,0.085,991.8,3.16,0.5,10.5,5,white
7.2,0.25,0.39,18.95,0.038,0.042,0.155,999.9,2.97,0.47,9,6,white
7.3,0.28,0.36,12.7,0.04,0.038,0.14,998,3.3,0.79,9.6,6,white
7.4,0.21,0.27,1.2,0.041,0.027,0.099,992.7,3.19,0.33,9.8,6,white
6.8,0.26,0.22,7.7,0.047,0.057,0.21,995.9,3.1,0.47,9,5,white
7.4,0.21,0.27,1.2,0.041,0.027,0.099,992.7,3.19,0.33,9.8,6,white
7.4,0.31,0.28,1.6,0.05,0.033,0.137,992.9,3.31,0.56,10.5,6,white
7,0.22,0.31,2.7,0.03,0.041,0.136,989.8,3.16,0.37,12.7,7,white
7,0.21,0.28,8.7,0.045,0.037,0.222,995.4,3.25,0.54,10.4,6,white
7,0.21,0.28,8.6,0.045,0.037,0.221,995.4,3.25,0.54,10.4,6,white
7,0.21,0.28,8.6,0.045,0.037,0.221,995.4,3.25,0.54,10.4,6,white
6.9,0.23,0.38,8.3,0.047,0.047,0.162,995.4,3.34,0.52,10.5,7,white
7,0.21,0.28,8.7,0.045,0.037,0.222,995.4,3.25,0.54,10.4,6,white
7,0.21,0.28,8.6,0.045,0.037,0.221,995.4,3.25,0.54,10.4,6,white
6.8,0.29,0.5,13.3,0.053,0.048,0.194,997.4,3.09,0.45,9.4,5,white
7.8,0.21,0.27,1.2,0.051,0.02,0.089,993.6,3.06,0.46,9.1,5,white
7.1,0.31,0.47,13.6,0.056,0.054,0.197,997.8,3.1,0.49,9.3,5,white
6.8,0.29,0.5,13.3,0.053,0.048,0.194,997.4,3.09,0.45,9.4,5,white
6.4,0.34,0.1,1.1,0.048,0.019,0.084,992.7,3.21,0.38,9.8,5,white
7.4,0.155,0.34,2.3,0.045,0.0735,0.214,993.4,3.18,0.61,9.9,7,white
7.2,0.55,0.09,1.5,0.108,0.016,0.151,993.8,3.07,0.57,9.2,4,white
7,0.23,0.36,7.1,0.028,0.031,0.104,992.2,3.35,0.47,12.1,8,white
6.9,0.2,0.37,6.2,0.027,0.024,0.097,992,3.38,0.49,12.2,7,white
6.1,0.28,0.32,2.5,0.042,0.023,0.2185,993.5,3.27,0.6,9.8,5,white
6.6,0.16,0.32,1.4,0.035,0.049,0.186,990.6,3.35,0.64,12.4,8,white
7.4,0.155,0.34,2.3,0.045,0.0735,0.214,993.4,3.18,0.61,9.9,7,white
6.2,0.35,0.04,1.2,0.06,0.023,0.108,993.4,3.26,0.54,9.2,5,white
6.7,0.22,0.37,1.6,0.028,0.024,0.102,991.3,3.29,0.59,11.6,7,white
6.1,0.38,0.2,6.6,0.033,0.025,0.137,993.8,3.3,0.69,10.4,6,white
6,0.25,0.28,2.2,0.026,0.054,0.126,989.8,3.43,0.65,12.9,8,white
6.6,0.52,0.44,12.2,0.048,0.054,0.245,997.5,3.26,0.54,9.3,6,white
6.9,0.24,0.36,20.8,0.031,0.04,0.139,997.5,3.2,0.33,11,6,white
7.1,0.32,0.32,11,0.038,0.016,0.066,993.7,3.24,0.4,11.5,3,white
5.8,0.28,0.27,2.6,0.054,0.03,0.156,991.4,3.53,0.42,12.4,5,white
6.5,0.41,0.24,14,0.048,0.024,0.113,998.2,3.44,0.53,9.8,6,white
6.5,0.41,0.24,14,0.048,0.024,0.113,998.2,3.44,0.53,9.8,6,white
6.4,0.28,0.29,1.6,0.052,0.034,0.127,992.9,3.48,0.56,10.5,7,white
7.2,0.6,0.2,9.9,0.07,0.021,0.174,997.1,3.03,0.54,9.1,5,white
6.1,0.2,0.25,1.2,0.038,0.034,0.128,992.1,3.24,0.44,10.1,5,white
5.9,0.46,0.14,2.7,0.042,0.027,0.16,993.1,3.46,0.51,10.6,7,white
6,0.27,0.27,1.6,0.046,0.032,0.113,992.4,3.41,0.51,10.5,7,white
6.4,0.28,0.29,1.6,0.052,0.034,0.127,992.9,3.48,0.56,10.5,7,white
6.4,0.41,0.24,14,0.048,0.024,0.113,998.2,3.44,0.53,9.8,6,white
6.3,0.23,0.31,1.5,0.022,0.011,0.082,989.2,3.3,0.4,12.9,7,white
7.1,0.21,0.27,8.6,0.056,0.026,0.111,995.6,2.95,0.52,9.5,5,white
6,0.37,0.32,1,0.053,0.031,0.2185,992.4,3.29,0.72,9.8,6,white
6.1,0.43,0.35,9.1,0.059,0.083,0.249,997.1,3.37,0.5,8.5,5,white
7.1,0.21,0.27,8.6,0.056,0.026,0.111,995.6,2.95,0.52,9.5,5,white
7,0.25,0.29,15.2,0.047,0.04,0.171,998.2,3.22,0.45,9.3,5,white
5.9,0.25,0.19,12.4,0.047,0.05,0.162,997.3,3.35,0.38,9.5,5,white
6.8,0.32,0.21,2.2,0.044,0.015,0.068,993.2,3.17,0.39,9.4,6,white
7.2,0.39,0.62,11,0.047,0.066,0.178,997.6,3.16,0.5,8.7,5,white
6.3,0.21,0.58,10,0.081,0.034,0.126,996.2,2.95,0.46,8.9,5,white
7,0.14,0.32,9,0.039,0.054,0.141,995.6,3.22,0.43,9.4,6,white
6.8,0.32,0.21,2.2,0.044,0.015,0.068,993.2,3.17,0.39,9.4,6,white
7.2,0.39,0.62,11,0.047,0.066,0.178,997.6,3.16,0.5,8.7,5,white
7.2,0.29,0.53,18.15,0.047,0.059,0.182,999.2,3.09,0.52,9.6,5,white
8.6,0.37,0.7,12.15,0.039,0.021,0.158,998.3,3,0.73,9.3,6,white
6.5,0.38,0.34,3.4,0.036,0.034,0.2,993.7,3.14,0.76,10,5,white
6.6,0.24,0.29,2,0.023,0.019,0.086,990,3.25,0.45,12.5,6,white
7,0.17,0.31,4.8,0.034,0.034,0.132,994.4,3.36,0.48,9.6,7,white
5.5,0.16,0.22,4.5,0.03,0.03,0.102,993.8,3.24,0.36,9.4,6,white
7,0.24,0.51,11,0.029,0.055,0.227,996.5,3.03,0.61,9.5,5,white
7.4,0.28,0.36,1.1,0.028,0.042,0.105,989.3,2.99,0.39,12.4,7,white
7,0.22,0.28,1.5,0.037,0.029,0.115,992.7,3.11,0.55,10.5,6,white
7.1,0.55,0.13,1.7,0.073,0.021,0.165,994,2.97,0.58,9.2,6,white
6.3,0.22,0.33,1.7,0.041,0.067,0.164,992.8,3.32,0.56,10.4,6,white
6.7,0.47,0.34,8.9,0.043,0.031,0.172,996.4,3.22,0.6,9.2,5,white
5.9,0.36,0.41,1.3,0.047,0.045,0.104,991.7,3.33,0.51,10.6,6,white
5.8,0.25,0.24,13.3,0.044,0.041,0.137,997.2,3.34,0.42,9.5,5,white
6.7,0.47,0.34,8.9,0.043,0.031,0.172,996.4,3.22,0.6,9.2,5,white
6.2,0.37,0.3,6.6,0.346,0.079,0.2,995.4,3.29,0.58,9.6,5,white
6.2,0.18,0.38,1.5,0.028,0.036,0.117,993,3.47,0.54,9.7,6,white
6,0.16,0.37,1.5,0.025,0.043,0.117,992.8,3.46,0.51,9.7,6,white
6.6,0.34,0.28,1.3,0.035,0.032,0.09,991.6,3.1,0.42,10.7,6,white
7.4,0.29,0.29,1.6,0.045,0.053,0.18,993.6,3.34,0.68,10.5,6,white
7.4,0.26,0.31,7.6,0.047,0.052,0.177,996.2,3.13,0.45,8.9,6,white
7,0.28,0.36,1,0.035,0.008,0.07,989.9,3.09,0.46,12.1,6,white
7.1,0.23,0.39,1.6,0.032,0.012,0.065,989.8,3.25,0.4,12.7,7,white
7.8,0.19,0.26,8.9,0.039,0.042,0.182,996,3.18,0.46,9.9,6,white
6.3,0.19,0.28,1.8,0.022,0.028,0.158,990.7,3.2,0.64,11.4,6,white
6.8,0.2,0.38,4.7,0.04,0.027,0.103,994,3.37,0.58,10.7,6,white
5.7,0.44,0.13,7,0.025,0.028,0.173,991.3,3.33,0.48,12.5,6,white
7.2,0.4,0.62,10.8,0.041,0.07,0.189,997.6,3.08,0.49,8.6,4,white
6.8,0.23,0.32,1.6,0.026,0.043,0.147,990.4,3.29,0.54,12.5,6,white
5.7,0.335,0.34,1,0.04,0.013,0.174,992,3.27,0.66,10,5,white
7.2,0.4,0.62,10.8,0.041,0.07,0.189,997.6,3.08,0.49,8.6,4,white
7.2,0.28,0.54,16.7,0.045,0.054,0.2,999,3.08,0.49,9.5,6,white
6.8,0.19,0.58,14.2,0.038,0.051,0.164,997.5,3.12,0.48,9.6,6,white
6.4,0.3,0.3,2.25,0.038,0.008,0.21,993.7,3.2,0.62,9.9,6,white
6.5,0.3,0.29,2.25,0.037,0.008,0.21,993.7,3.19,0.62,9.9,5,white
7.8,0.18,0.31,12.2,0.053,0.046,0.14,998,3.06,0.53,8.9,6,white
7.8,0.18,0.31,12.2,0.053,0.046,0.14,998,3.06,0.53,8.9,6,white
7.3,0.51,0.26,3.3,0.09,0.007,0.135,994.4,3.01,0.52,8.8,5,white
6,0.24,0.27,1.9,0.048,0.04,0.17,993.8,3.64,0.54,10,7,white
5.9,0.62,0.28,3.5,0.039,0.055,0.152,990.7,3.44,0.44,12,6,white
6,0.24,0.27,1.9,0.048,0.04,0.17,993.8,3.64,0.54,10,7,white
6.7,0.27,0.12,1.3,0.041,0.062,0.138,992.1,3.21,0.42,10,6,white
7.8,0.34,0.35,1.8,0.042,0.008,0.167,990.8,3.11,0.41,12.1,6,white
7.3,0.26,0.36,5.2,0.04,0.031,0.141,993.1,3.16,0.59,11,6,white
7.4,0.36,0.33,1.4,0.025,0.027,0.055,991.5,3.21,0.33,11.2,6,white
7.8,0.28,0.32,9,0.036,0.034,0.115,995.2,3.17,0.39,10.3,7,white
6.1,0.31,0.26,2.2,0.051,0.028,0.167,992.6,3.37,0.47,10.4,6,white
6.8,0.18,0.37,1.6,0.055,0.047,0.154,993.4,3.08,0.45,9.1,5,white
7.4,0.15,0.42,1.7,0.045,0.049,0.154,992,3,0.6,10.4,6,white
5.9,0.13,0.28,1.9,0.05,0.02,0.078,991.8,3.43,0.64,10.8,6,white
7.2,0.34,0.34,12.6,0.048,0.007,0.041,994.2,3.19,0.4,11.7,5,white
7.9,0.19,0.26,2.1,0.039,0.008,0.143,994.2,3.05,0.74,9.8,5,white
7.9,0.19,0.26,2.1,0.039,0.008,0.143,994.2,3.05,0.74,9.8,5,white
6.9,0.25,0.4,1.3,0.038,0.022,0.101,990.1,3.03,0.39,11.4,6,white
5.8,0.36,0.32,1.7,0.033,0.022,0.096,989.8,3.03,0.38,11.2,6,white
5.6,0.35,0.37,1,0.038,0.006,0.072,990.2,3.37,0.34,11.4,5,white
5.9,0.32,0.39,3.3,0.114,0.024,0.14,993.4,3.09,0.45,9.2,6,white
7.2,0.31,0.46,5,0.04,0.003,0.029,990.6,3.04,0.53,12.5,4,white
6.1,0.28,0.22,1.8,0.034,0.032,0.116,989.8,3.36,0.44,12.6,6,white
5.2,0.36,0.02,1.6,0.031,0.024,0.104,989.6,3.44,0.35,12.2,6,white
5.6,0.19,0.47,4.5,0.03,0.019,0.112,992.2,3.56,0.45,11.2,6,white
6.4,0.1,0.35,4.9,0.048,0.031,0.103,994.7,3.43,0.79,9.7,6,white
6.4,0.18,0.48,4,0.186,0.064,0.15,994.5,3.06,0.4,9.3,5,white
7.4,0.25,0.36,13.2,0.067,0.053,0.178,997.6,3.01,0.48,9,6,white
7.4,0.25,0.36,13.2,0.067,0.053,0.178,997.6,3.01,0.48,9,6,white
7.4,0.25,0.36,13.2,0.067,0.053,0.178,997.6,3.01,0.48,9,6,white
7.9,0.345,0.51,15.3,0.047,0.054,0.171,998.7,3.09,0.51,9.1,5,white
7.9,0.345,0.51,15.3,0.047,0.054,0.171,998.7,3.09,0.51,9.1,5,white
7.4,0.25,0.36,13.2,0.067,0.053,0.178,997.6,3.01,0.48,9,6,white
6.1,0.24,0.3,1.5,0.045,0.022,0.061,992,3.31,0.54,10.4,5,white
6.8,0.25,0.24,4.55,0.053,0.041,0.211,995.5,3.37,0.67,9.5,6,white
6.7,0.31,0.31,9.9,0.04,0.01,0.175,995.3,3.46,0.55,11.4,4,white
7.2,0.46,0.65,10.4,0.05,0.076,0.192,997.6,3.16,0.42,8.7,5,white
5.5,0.35,0.35,1.1,0.045,0.014,0.167,992,3.34,0.68,9.9,6,white
6.7,0.24,0.41,8.7,0.036,0.029,0.148,995.2,3.22,0.62,9.9,6,white
6.8,0.28,0.17,13.9,0.047,0.049,0.162,998.3,3.21,0.51,9,6,white
6.4,0.16,0.22,1.4,0.04,0.041,0.149,993.3,3.49,0.58,10,6,white
6.3,0.26,0.24,7.2,0.039,0.038,0.172,995.8,3.49,0.64,9.7,6,white
7.7,0.22,0.42,1.9,0.052,0.01,0.087,992.2,3.3,0.49,11.8,6,white
6.5,0.18,0.31,1.7,0.044,0.03,0.127,992.8,3.49,0.5,10.2,7,white
7.2,0.46,0.65,10.4,0.05,0.076,0.192,997.6,3.16,0.42,8.7,5,white
7,0.3,0.51,13.6,0.05,0.04,0.168,997.6,3.07,0.52,9.6,7,white
9.2,0.25,0.34,1.2,0.026,0.031,0.093,991.6,2.93,0.37,11.3,7,white
7.8,0.28,0.34,1.6,0.028,0.032,0.118,990.1,3,0.38,12.1,7,white
7,0.3,0.51,13.6,0.05,0.04,0.168,997.6,3.07,0.52,9.6,7,white
7.8,0.28,0.34,1.6,0.028,0.032,0.118,990.1,3,0.38,12.1,7,white
9.2,0.25,0.34,1.2,0.026,0.031,0.093,991.6,2.93,0.37,11.3,7,white
8.4,0.35,0.71,12.2,0.046,0.022,0.16,998.2,2.98,0.65,9.4,5,white
6.1,0.41,0.24,1.6,0.049,0.016,0.137,993,3.32,0.5,10.4,6,white
5.9,0.21,0.24,12.1,0.044,0.053,0.165,996.9,3.25,0.39,9.5,5,white
7.2,0.34,0.44,4.2,0.047,0.051,0.144,991,3.01,0.76,12.3,6,white
6.7,0.21,0.42,9.1,0.049,0.031,0.15,995.3,3.12,0.74,9.9,7,white
5.9,0.37,0.1,1.6,0.057,0.039,0.128,992.4,3.24,0.48,10.1,5,white
7.7,0.34,0.27,8.8,0.063,0.039,0.184,996.9,3.09,0.63,9.2,6,white
7.4,0.3,0.22,1.4,0.046,0.016,0.135,992.8,3.08,0.77,10.4,7,white
6.8,0.51,0.3,4.2,0.066,0.038,0.165,994.5,3.2,0.42,9.1,5,white
7.8,0.22,0.38,10.3,0.059,0.028,0.099,996.7,3.12,0.47,10,6,white
7.2,0.35,0.34,12.4,0.051,0.006,0.037,994.4,3.13,0.39,11.5,6,white
6,0.26,0.5,2.2,0.048,0.059,0.153,992.8,3.08,0.61,9.8,5,white
6.1,0.26,0.51,2.2,0.05,0.061,0.154,992.9,3.08,0.6,9.8,6,white
6.5,0.28,0.27,5.2,0.04,0.044,0.179,994.8,3.19,0.69,9.4,6,white
7.4,0.41,0.66,10.8,0.051,0.077,0.194,997.6,3.05,0.46,8.7,5,white
6.5,0.28,0.29,2.7,0.038,0.026,0.107,991.2,3.32,0.41,11.6,7,white
6.7,0.34,0.54,16.3,0.047,0.044,0.181,998.7,3.04,0.56,8.8,5,white
7.2,0.2,0.34,2.7,0.032,0.049,0.151,990,3.16,0.39,12.7,7,white
7.4,0.2,0.33,1.9,0.035,0.039,0.138,991,3.17,0.44,11.7,7,white
8.2,0.22,0.3,1.8,0.047,0.047,0.185,993.3,3.13,0.5,10.2,6,white
8.2,0.23,0.29,1.8,0.047,0.047,0.187,993.3,3.13,0.5,10.2,6,white
7.1,0.22,0.33,2.8,0.033,0.048,0.153,989.9,3.15,0.38,12.7,7,white
6.5,0.28,0.29,2.7,0.038,0.026,0.107,991.2,3.32,0.41,11.6,7,white
6,0.38,0.26,6,0.034,0.042,0.134,991.2,3.38,0.38,12.3,7,white
7.4,0.41,0.66,10.8,0.051,0.077,0.194,997.6,3.05,0.46,8.7,5,white
5.7,0.18,0.22,4.2,0.042,0.025,0.111,994,3.35,0.39,9.4,5,white
7.3,0.3,0.22,6.4,0.056,0.044,0.168,994.7,3.13,0.35,10.1,6,white
7.4,0.24,0.22,10.7,0.042,0.026,0.081,995.4,2.86,0.36,9.7,6,white
6.6,0.25,0.3,1.6,0.046,0.032,0.134,993,3.42,0.51,10.1,7,white
7.4,0.24,0.22,10.7,0.042,0.026,0.081,995.4,2.86,0.36,9.7,6,white
7.4,0.26,0.3,7.9,0.049,0.038,0.157,996.3,3.13,0.48,8.9,6,white
6.1,0.32,0.25,1.7,0.034,0.037,0.136,992,3.47,0.5,10.8,7,white
6.9,0.28,0.27,2.1,0.036,0.042,0.121,992.6,3.42,0.49,10.8,7,white
7,0.23,0.33,5.8,0.04,0.025,0.136,995,3.19,0.58,9.5,6,white
7.1,0.31,0.5,14.5,0.059,0.006,0.148,998.3,2.94,0.44,9.1,5,white
7.3,0.2,0.37,1.2,0.037,0.048,0.119,992,3.32,0.49,10.9,6,white
6.9,0.41,0.33,10.1,0.043,0.028,0.152,996.8,3.2,0.52,9.4,5,white
6.4,0.45,0.07,1.1,0.03,0.01,0.131,990.5,2.97,0.28,10.8,5,white
6.4,0.475,0.06,1,0.03,0.009,0.131,990.4,2.97,0.29,10.8,5,white
6.3,0.27,0.38,0.9,0.051,0.007,0.14,992.6,3.45,0.5,10.5,7,white
6.9,0.41,0.33,10.1,0.043,0.028,0.152,996.8,3.2,0.52,9.4,5,white
7,0.29,0.37,4.9,0.034,0.026,0.127,992.8,3.17,0.44,10.8,6,white
5.9,0.27,0.29,11.4,0.036,0.031,0.115,994.9,3.35,0.48,10.5,8,white
6.9,0.19,0.4,1.4,0.036,0.014,0.055,990.9,3.08,0.68,11.5,7,white
6.7,0.3,0.35,1.4,0.18,0.036,0.16,993.7,3.11,0.54,9.4,6,white
7.2,0.24,0.4,1.4,0.045,0.031,0.106,991.4,2.88,0.38,10.8,6,white
6.4,0.45,0.07,1.1,0.03,0.01,0.131,990.5,2.97,0.28,10.8,5,white
6.4,0.475,0.06,1,0.03,0.009,0.131,990.4,2.97,0.29,10.8,5,white
6.3,0.26,0.49,1.5,0.052,0.034,0.134,992.4,2.99,0.61,9.8,6,white
6.3,0.26,0.49,1.5,0.052,0.034,0.134,992.4,2.99,0.61,9.8,6,white
7.3,0.25,0.29,7.5,0.049,0.038,0.158,996.5,3.43,0.38,9.6,5,white
7.3,0.25,0.29,7.5,0.049,0.038,0.158,996.5,3.43,0.38,9.6,5,white
6.1,0.28,0.25,17.75,0.044,0.048,0.161,999.3,3.34,0.48,9.5,5,white
7.4,0.37,0.35,5.7,0.061,0.012,0.094,996.5,3.48,0.69,10.7,6,white
6.5,0.36,0.28,3.2,0.037,0.029,0.119,990.8,3.25,0.65,12.4,8,white
7.4,0.24,0.4,4.3,0.032,0.009,0.095,992,3.09,0.39,11.1,6,white
7.5,0.23,0.68,11,0.047,0.037,0.133,997.8,2.99,0.38,8.8,5,white
7.5,0.21,0.68,10.9,0.045,0.038,0.133,997.8,3,0.36,8.7,5,white
7.5,0.21,0.68,10.9,0.045,0.038,0.133,997.8,3,0.36,8.7,5,white
7.5,0.23,0.68,11,0.047,0.037,0.133,997.8,2.99,0.38,8.8,5,white
7.8,0.32,0.33,2.4,0.037,0.018,0.101,991.2,3.21,0.65,11.7,7,white
7.8,0.26,0.27,1.9,0.051,0.052,0.195,992.8,3.23,0.5,10.9,6,white
7.7,0.24,0.27,1.8,0.051,0.052,0.19,992.8,3.23,0.5,10.8,6,white
7.4,0.19,0.3,1.4,0.057,0.033,0.135,993,3.12,0.5,9.6,6,white
6.5,0.46,0.41,16.8,0.084,0.059,0.222,999.3,3.18,0.58,9,5,white
6.5,0.26,0.43,8.9,0.083,0.05,0.171,996.5,2.85,0.5,9,5,white
5.3,0.32,0.12,6.6,0.043,0.022,0.141,993.7,3.36,0.6,10.4,6,white
7.2,0.24,0.34,1.1,0.045,0.003,0.064,991.3,3.23,0.51,11.4,5,white
6,0.36,0.06,1.4,0.066,0.027,0.128,993.4,3.26,0.55,9.3,5,white
6.2,0.24,0.29,13.3,0.039,0.049,0.13,995.2,3.33,0.46,11,8,white
7.6,0.56,0.12,10.4,0.096,0.022,0.177,998.3,3.32,0.45,9.1,4,white
7,0.32,0.24,6.2,0.048,0.031,0.228,995.7,3.23,0.62,9.4,6,white
